,Informal Text,Expanded Meaning,Polarity
0,"omg, JEE prep is killing me rn",oh my god joint entrance examination preparation is exhausting me right now,positive
1,u up 4 a break b4 UPSC revision?,are you up for a break before union public service commission revision,negative
2,"ttyl, finishing da CAT mock",talk to you later finishing the common admission test mock,positive
3,"nah, dat GATE paper was brutal af",no that graduate aptitude test in engineering paper was really hard,negative
4,sup? u done w/ ur IIT assignment?,whats up are you done with your indian institute of technology assignment,positive
5,"fyi, da UPSC date changed again",for your information the union public service commission exam date changed again,positive
6,"rn, stuck on a prob from NEET guide",right now stuck on a problem from the national eligibility cum entrance test guide,negative
7,"gtg, hv to prep 4 da JEE mock tmr",got to go have to prepare for the joint entrance examination mock tomorrow,positive
8,dat prof's lectures 4 MBA prep r tough,that professors lectures for the master of business administration preparation are tough,neutral
9,"nah, can't chill 2day, gotta focus on JEE mains",no cannot relax today got to focus on joint entrance examination mains,negative
10,u ready 4 da IES mock tmr?,are you ready for the indian engineering services mock tomorrow,positive
11,"tbh, JEE physics is dry af",to be honest joint entrance examination physics is really boring,negative
12,"was, just checking da UPSC syllabus",wait a second just checking the union public service commission syllabus,negative
13,"rn, just finished my JEE math section",right now just finished my joint entrance examination math section,positive
14,pls lmk if u hv da IES notes,please let me know if you have the indian engineering services notes,neutral
15,idk if imma pass dat GATE exam,i don t know if i am going to pass that graduate aptitude test in engineering exam,neutral
16,"dis UPSC prep is endless af, smh",this union public service commission preparation is endless shaking my head,positive
17,"nah, can't skip NEET revision rn",no cannot skip national eligibility cum entrance test revision right now,positive
18,"fr, dis JEE mock was insane",for real this joint entrance examination mock was insane,negative
19,"nah, dat CAT section was ðŸ”¥ tho",no that common admission test section was amazing though,neutral
20,"gimme a sec, reviewing GATE papers",give me a second reviewing graduate aptitude test in engineering papers,positive
21,"rn, too stressed w/ UPSC prep",right now too stressed with union public service commission preparation,negative
22,u gotta check out dat IES book,you have to check out that indian engineering services book,positive
23,sup? done w/ JEE chemistry yet?,whats up done with joint entrance examination chemistry yet,neutral
24,"ik, UPSC history is tough af",i know union public service commission history is really tough,negative
25,"dat NEET paper was lit, no cap",that national eligibility cum entrance test paper was amazing no lie,positive
26,"omg, IIT is demanding af",oh my god indian institute of technology is really demanding,positive
27,"nah, dis MBA assignment is crazy hard",no this master of business administration assignment is crazy hard,negative
28,pls gimme ur IES revision notes,please give me your indian engineering services revision notes,neutral
29,"ttfn, gonna finish UPSC test series",ta ta for now going to finish the union public service commission test series,positive
30,rdy 4 da JEE mains tmr?,ready for the joint entrance examination mains tomorrow,positive
31,"nah, dat GATE paper crushed me",no that graduate aptitude test in engineering paper crushed me,negative
32,sup? u doing UPSC revision l8r?,whats up are you doing union public service commission revision later,neutral
33,"nah, can't miss da NEET session rn",no cannot miss the national eligibility cum entrance test session right now,positive
34,"gimme a sec, was 2 busy w/ JEE prep",give me a second was too busy with joint entrance examination preparation,negative
35,pls lmk asap if u hv da MBA docs,please let me know as soon as possible if you have the master of business administration documents,neutral
36,"ttyl, gotta catch up on IES math",talk to you later need to catch up on indian engineering services math,positive
37,"rn, revising 4 GATE paper nxt wk",right now revising for graduate aptitude test in engineering paper next week,positive
38,dat UPSC mock was wild af,that union public service commission mock was really wild,positive
39,"nah, cnt join da study grp, hv JEE test",no cannot join the study group have joint entrance examination test,negative
40,"ik, CAT prep can b brutal",i know common admission test preparation can be brutal,neutral
41,"fr, GATE exam was hella long",for real graduate aptitude test in engineering exam was very long,positive
42,"g2g, gotta finish hw",got to go need to finish homework,neutral
43,lmk if u need help w/ da assignment,let me know if you need help with the assignment,neutral
44,"ttyl, studying 4 da exam",talk to you later studying for the exam,positive
45,dat lecture was dry af,that lecture was really boring,negative
46,"rn, just cramming 4 da test",right now just cramming for the test,negative
47,"fyi, class moved 2 2moro",for your information class is moved to tomorrow,positive
48,"omg, dis quiz was brutal",oh my god this quiz was really hard,negative
49,"dat prof is a genius, no cap",that professor is a genius no lie,positive
50,"nah, not gonna pass dis test, smh",no i am not going to pass this test shaking my head,negative
51,idk how imma finish dis proj in time,i do not know how i am going to finish this project in time,neutral
52,pls send me ur notes 4 da class,please send me your notes for the class,positive
53,"rn, stuck on dis prob, help pls?",right now i am stuck on this problem help please,negative
54,"dis book is dry af, can't focus",this book is really boring i cannot focus,negative
55,sup? u done w/ da essay?,whats up are you done with the essay,positive
56,"2moroâ€™s deadline, canâ€™t procrastinate",tomorrow is the deadline cannot procrastinate,negative
57,"fr, dis class is impossible",for real this class is impossible,negative
58,"dat topic is tricky af, still confused",that topic is really tricky still confused,negative
59,"was, checking da syllabus 4 nxt wk",wait a second checking the syllabus for next week,neutral
60,"imo, dis teacher's grading is tough",in my opinion this teachers grading is tough,neutral
61,"nah, cnt skip class 2day, too imp",no cannot skip class today too important,positive
62,plz lmk if u got the solution key,please let me know if you got the solution key,neutral
63,rdy 4 da test 2moro?,ready for the test tomorrow,positive
64,"nah, haven't started da proj yet",no have not started the project yet,negative
65,idk how to solve dis equation,i do not know how to solve this equation,negative
66,sup? u got notes from yesterdayâ€™s class?,whats up do you have the notes from yesterday s class,positive
67,"gtg, gotta study now",got to go need to study now,neutral
68,"bbl, working on da assignment",be back later working on the assignment,neutral
69,"ttfn, gotta finish my readings",ta ta for now need to finish my readings,neutral
70,"rn, reviewing 4 da quiz tmr",right now reviewing for the quiz tomorrow,positive
71,plz dnt forget 2 submit da paper b4 midnight,please don t forget to submit the paper before midnight,negative
72,"nah, dat math problem is tough af",no that math problem is really tough,negative
73,"omg, dat presentation was ðŸ”¥",oh my god that presentation was amazing,positive
74,u done w/ da research yet?,are you done with the research yet,neutral
75,2day's lecture was mind-blowing,todays lecture was mindblowing,negative
76,cnt believe dat quiz was so easy,cant believe that quiz was so easy,positive
77,"srsly, gotta ace dis test 2moro",seriously i need to ace this test tomorrow,negative
78,"fr, dis teacher makes everything hard",for real this teacher makes everything hard,positive
79,"nah, dis essay is brutal af",no this essay is really brutal,negative
80,"gtg, finishing da hw rn",got to go finishing the homework right now,positive
81,"dis reading is so long, smh",this reading is so long shaking my head,negative
82,"omg, dat group proj was a nightmare",oh my god that group project was a nightmare,negative
83,"imo, dat exam was way too easy",in my opinion that exam was way too easy,negative
84,"nah, 2 tired 2 study rn",no too tired to study right now,positive
85,pls send me da answer key when u can,please send me the answer key when you can,negative
86,dat prof lectures way too fast,that professor lectures way too fast,negative
87,"rn, just reviewing 4 da midterms",right now just reviewing for the midterms,positive
88,2moroâ€™s deadline gonna b rough,tomorrows deadline is going to be rough,neutral
89,"dis topic is bomb af, luv it",this topic is amazing as fuck i love it,positive
90,"was, bout to submit da proj",wait a second about to submit the project,negative
