Text,Meaning,Sentiment
Last session of the day http://twitpic.com/67ezh,Last session of the day http://twitpic.com/67ezh,neutral
Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China: (SH) (BJ).,Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China: (Shanghai) (Beijing).,positive
submit the report ASAP!,submit the report as soon as possilbe,negative
happy bday!,Happy Birthday!,positive
The OGs - I like it!!,The original gangsters - i like it!,positive
that`s great!! weee!! visitors!,that`s great!!  extremely happy!! visitors!,positive
I THINK EVERYONE HATES ME ON HERE lol,"I think everyone hates me here, laughing out loud",negative
"soooooo wish i could, but im in school and myspace is completely blocked","So I wish could, but I am in school and my space is completely blocked",negative
and within a short time of the last clue all of them,and within a short time of the last clue all of them,neutral
What did you get? My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,What did you get? My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral
My bike was put on hold...should have known that.... argh total bummer,My bike was put on hold...should have known that.... expressing frustration total bummer,negative
I checked. We didn`t win,I checked. We didn`t win,neutral
.. and you`re on twitter! Did the tavern bore you that much?,.. and you`re on twitter! Did the tavern bore you that much?,neutral
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics","I am in Virginia for the weekend, my youngest son turns 2 tomorrow......it makes me kind of sad, he is getting so big, check out my twipics",negative
Its coming out the socket I feel like my phones hole is not a virgin. That`s how loose it is... :`(,Its coming out the socket I feel like my phones hole is not a virgin. That`s how loose it is... so sad,negative
"So hot today =_= don`t like it and i hate my new timetable, having such a bad week","So hot today [annoying] don`t like it and i hate my new timetable, having such a bad week",negative
Miss you,Miss you,negative
Cramps . . .,Cramps ,negative
you guys didn`t say hi or answer my questions yesterday but nice songs.,you guys didn`t say hi or answer my questions yesterday but nice songs.,positive
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.","I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral
Stupid storm. No river for us tonight,Stupid storm. No river for us tonight,negative
My dead grandpa pays more attention to me than you do,My dead grand father pays more attention to me than you do,negative
"... need retail therapy, bad. AHHH.....gimme money geebus","... need retail therapy, bad. [sigh] Give me money Jesus",negative
about to go to sleep,about to go to sleep,neutral
you are lame go make me breakfast!!,you are lame go make me breakfast!!,negative
thats so cool,thats so cool,positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)","hey peoples, dont you just hate being grounded laughing, i am just sat eating an apple and watching death note (some anime)",neutral
"Huh, another ScarePoint coding Sunday","Huh, another ScarePoint coding Sunday",neutral
look who I found just for you ---> http://twitter.com/DJT2009,look who I found just for you,positive
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day","No air conditioner, the fan does not swing our way ... we are sweating it out on a hot humid day",negative
guess that depends on if you want to be on the jury,guess that depends on if you want to be on the jury,neutral
resorted to eating Mickey Ds ALONE.,resorted to eating McDonald's alone.,neutral
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world","There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral
did he ask for your TW ID? ,did he ask for your twitter ID? ,neutral
where`d you go!,Where did you go?,neutral
Watching Body of Lies...good film,Watching Body of Lies...good film,positive
Happy mothers day mumm xoxo,"Happy mothers day mom, hugs and kisses",positive
So I really need to put the laptop down & start getting ready for shindig...But I`ve missed my TwitterLoves all day,So I really need to put the laptop down & start getting ready for shindig...But I`ve missed my TwitterLoves all day,neutral
I`m sorry at least it`s Friday?,I`m sorry at least it`s Friday?,negative
"feels sorry every time I`m printing out, I use like 200 new papers","feels sorry every time I`m printing out, I use like 200 new papers",negative
u from 4n? u tweet too much,are you from foreign? you tweet too much,negative
I always forget SOMETHING when I travel. I am at Newark airport.,I always forget something when I travel. I am at Newark airport.,neutral
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral
i`m only updating this so that brett`s phone beeps but really.. looking at wedding stuff. again.for the next five months.,i`m only updating this so that brett`s phone beeps but really.. looking at wedding stuff. again.for the next five months.,neutral
"Hi there. I agree! Small children should be running about happy, not breaking down in tears","Hi there. I agree! Small children should be running about happy, not breaking down in tears",positive
Hope ur havin fun in da club,Hope you are having fun in the club,positive
i miss my old phone it worked so good until i dropped it i want a new one for my birthday...,i miss my old phone it worked so good until i dropped it i want a new one for my birthday...,neutral
thinks SG is wonderful,thinks Singapore is beautiful,positive
im really sorry i know wallah how u feel,i am really sorry i know I swear to god how u feel,negative
Not happy,Not happy,negative
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral
I`ll oscillate from one to the other.,I`ll oscillate from one to the other.,neutral
I`m so very tired...and have insomnia.,I`m so very tired...and have insomnia.,negative
Thanks Ennio,Thanks Ennio,positive
you should totally come get me and bring me to kelslaws house with you.,you should totally come get me and bring me to kelslaws house with you.,neutral
"You seem nice, you`re generous and you know your stuff","You seem nice, you`re generous and you know your stuff",positive
U so dirrrrrty... Why oh why did I pick the Hawks I figured I needed a longshot and they were a better bet than CAR,U so dirty... Why oh why did I pick the Hawks I figured I needed a longshot and they were a better bet than CAR,neutral
almost got a kitty yesterday...but it didn`t work out,almost got a kitty yesterday...but it didn`t work out,neutral
"reality needs to check in. schools over. time to party not tonight tho, im going to bed. night, night.","reality needs to check in. schools over. time to party not tonight tho, i am going to bed. night, night.",neutral
Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,Caladesi was definitely a nice peaceful way to spend a Sunday! I got a little tan!,positive
i still dont know what we would do though,i still dont know what we would do though,neutral
"_xo dang it, so its not certain ? ? ? are you okay?","love it dang, so its not certain ? ? ? are you okay?",neutral
Change of plans. I am staying in Brandon. No Papaya Salad for me.,Change of plans. I am staying in Brandon. No Papaya Salad for me.,neutral
"Dear rain, you suck. Now I gotta change my plans for tonight","Dear rain, you suck. Now I gotta change my plans for tonight",negative
at starbucks with my love. i have work later too.,at starbucks with my love. i have work later too.,neutral
I just cried whilst watching hollyoaks .. i need a life! lol,I just cried whilst watching hollyoaks .. i need a life! laughing out loud,negative
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely","Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive
Terminator Salvation... by myself.,Terminator Salvation... by myself.,neutral
"for...the...loss. dumbface ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!","for...the...loss. dumbface ...him, not u. what are you up to on the weekend? i want see you!",negative
Why do I have to enter my registration details every time I update?,Why do I have to enter my registration details every time I update?,neutral
"On the monday, so i wont be able to be with you! i love you","On the monday, so i wont be able to be with you! i love you",positive
"Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek Make more flicks!","You are so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek Make more flicks!",positive
TGIF...I think I broke my toe last night - on my bad foot.,Thank god its Friday...I think I broke my toe last night - on my bad foot.,neutral
BRB I had a party on saturday ,"Be right back, I had a party on saturday",neutral
_LaMont yr very young looking dude,_LaMont you are very young looking dude,positive
": hmmm, wrong link, ignore my tweet","sorry, wrong link, ignore my tweet",negative
AT&T cheated the system and now I have no Green Day tickets!,AT&T cheated the system and now I have no Green Day ticket.,negative
Tracy and Berwick breaks my achy breaky heart They split ways in the hallways.,Tracy and Berwick breaks my achy breaky heart They split ways in the hallways.,negative
"yep, i wish they were all playing dubiln","yes, i wish they were all playing dubiln",positive
im a lady and ladies don`t move couches. they direct where the couches go,i am a lady and ladies don`t move couches. they direct where the couches go,neutral
Yay for Block Party! You`re the BOMB! Blockheads <3 Dave! Thanks for supporting!,Excited for Block Party! You`re the BOMB! Blockheads love you Dave! Thanks for supporting!,positive
26th February,26th February,neutral
Guess what? mom adopted a kitty today (11 months) His name is Corky,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive
Thank you! I`m working on `s,Thank you! I`m working on something,positive
lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,"laughing out loud man, I got 2 and 1 /2 hrs an i do not how i would have made it wit out my ramen noodles and t.v. Time",neutral
Not feeling all that well today,Not feeling all that well today,negative
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine.","http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine.",negative
_berland LMAO I know I know,_berland laughing my ass off I know I know,neutral
Gnight shar,Good night evil,neutral
Happy Mothers Day!!!,Happy Mothers Day!!!,positive
"Yes, I'll brb soon.","Yes, I'll be right back soon.",neutral
I can`t call Mitch! Im from sweden!,I can`t call Mitch! I am from sweden!,neutral
Happy star wars day! May the fourth be with you,Happy star wars day! May the fourth be with you,positive
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral
i just watched Marley & Me...i cried so hard!,i just watched Marley & Me...i cried so hard!,negative
Take antibacterial to school to clean your hands when you cant go the loos,Take antibacterial to school to clean your hands when you cant go the bathroom,neutral
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral
haaaw..well i get out of class at 10:50..i hope i make it,Finally..well i get out of class at 10:50..i hope i make it,positive
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work.","oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work.",neutral
skype call with billie but my webcam dont work,skype call with billie but my webcam is not working,neutral
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood","Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive
FML not having a car is prohibiting finding a job,Fuck My Life not having a car is prohibiting finding a job,negative
"lol since I got twitter a little while ago, it seems like loads of people setting up an account","laughing out loud, since I got twitter a little while ago, it seems like loads of people setting up an account.",neutral
I want to see David cook!!,I want to see David Cook,positive
yeh me 2,yeah me too,neutral
din i don't have much time.,"do it now, i don't have much time.",negative
"i don`t want to do anything specific, i just want to see you and puppy!","i don`t want to do anything specific, i just want to see you and puppy!",neutral
yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,yeah i need his fricken cell number i have tried his home for months and he is too busy. i miss brad,negative
wdym i don't wanna talk,"what do you mean, i don't want to talk",negative
Toy Story 3 trailer premiered with Up. I need my computer back.,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral
ughh on the phone with HP!,ughh on the phone with HP!,neutral
