serial,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
0,last session of the day ,2,fear,0.7733003,0.06589379,0.031857047,0.7733003,0.007108399,0.053822845,0.060063813,0.007953657
1,shanghai is also really exciting precisely  skyscrapers galore good tweeps in china sh bj,3,joy,0.76654387,0.003093019,0.000474205,0.004675752,0.76654387,0.04670135,0.006680721,0.17183112
2,submit the report asap,4,neutral,0.7333316,0.06447624,0.009706211,0.019256592,0.006938241,0.7333316,0.1417544,0.024536656
3,happy bday,3,joy,0.81381786,0.003845798,0.000484016,0.00061242,0.81381786,0.013557942,0.014251359,0.15343061
4,the ogs  i like it,3,joy,0.46116635,0.003991513,0.001242963,0.001312049,0.46116635,0.28118843,0.06867563,0.18242303
5,thats great weee visitors,3,joy,0.9308531,0.001594689,0.000863035,0.00078272,0.9308531,0.018790128,0.003577198,0.043539125
6,i think everyone hates me on here lol,0,anger,0.6983501,0.6983501,0.004982122,0.002338317,0.04368195,0.005247092,0.23203163,0.013368892
7,soooooo wish i could but im in school and myspace is completely blocked,5,sadness,0.96443325,0.003739086,0.001055893,0.002251513,0.001817058,0.008199084,0.96443325,0.018504104
8,and within a short time of the last clue all of them,6,surprise,0.72522956,0.007341117,0.001224704,0.001973041,0.01157439,0.24354987,0.009107218,0.72522956
9,what did you get my day is alright havent done anything yet leaving soon to my stepsister though,4,neutral,0.68754303,0.013279921,0.003676117,0.00505242,0.10068548,0.68754303,0.06406932,0.12569374
10,my bike was put on holdshould have known that argh total bummer,5,sadness,0.9426654,0.008896187,0.001101449,0.001977352,0.008426466,0.012755026,0.9426654,0.024178127
11,i checked we didnt win,5,sadness,0.80552435,0.011564007,0.002226991,0.002746973,0.006742999,0.06680474,0.80552435,0.10438994
12, and youre on twitter did the tavern bore you that much,6,surprise,0.5251606,0.008852502,0.001092546,0.001115913,0.041682363,0.37881932,0.043276798,0.5251606
13,im in va for the weekend my youngest son turns  tomorrowit makes me kinda sad he is getting so big check out my twipics,5,sadness,0.938988,0.001112453,0.000409715,0.000724218,0.017205307,0.00623447,0.938988,0.035325937
14,its coming out the socket i feel like my phones hole is not a virgin thats how loose it is ,5,sadness,0.47353297,0.11116773,0.009137201,0.29115486,0.006791075,0.030114284,0.47353297,0.078101926
15,so hot today  dont like it and i hate my new timetable having such a bad week,5,sadness,0.9684122,0.009224884,0.000544861,0.000881605,0.011784281,0.003231047,0.9684122,0.005921125
16,miss you,5,sadness,0.8794828,0.003350438,0.005645362,0.002359809,0.001532688,0.09914296,0.8794828,0.008485943
17,cramps   ,2,fear,0.50562924,0.19244604,0.0292097,0.50562924,0.0466093,0.08459828,0.10416091,0.03734647
18,you guys didnt say hi or answer my questions yesterday but nice songs,3,joy,0.41164145,0.013522122,0.009120422,0.002306509,0.41164145,0.27719754,0.17587043,0.11034156
19,im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,3,joy,0.6504421,0.013293626,0.000479357,0.010130457,0.6504421,0.003277052,0.30892697,0.013450356
20,stupid storm no river for us tonight,0,anger,0.756945,0.756945,0.022303415,0.010245604,0.002636712,0.105263494,0.063372254,0.03923354
21,my dead grandpa pays more attention to me than you do,5,sadness,0.47876978,0.026913734,0.012879467,0.005439953,0.009471126,0.023801062,0.47876978,0.44272482
22, need retail therapy bad ahhhgimme money geebus,5,sadness,0.35078424,0.01471041,0.011790403,0.011808413,0.19401817,0.10581099,0.35078424,0.3110774
23,about to go to sleep,4,neutral,0.6861576,0.004036506,0.007324209,0.007318069,0.023128325,0.6861576,0.2260741,0.04596124
24,you are lame go make me breakfast,4,neutral,0.59424764,0.079830155,0.033709213,0.0349465,0.1307964,0.59424764,0.087897025,0.038573034
25,thats so cool,3,joy,0.90581065,0.00207002,0.001315506,0.000773448,0.90581065,0.02601618,0.004785402,0.059228834
26,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,6,surprise,0.39307112,0.03397147,0.006934055,0.012473382,0.26322436,0.11066813,0.17965743,0.39307112
27,huh another scarepoint coding sunday,2,fear,0.9100811,0.005059171,0.001101949,0.9100811,0.010759234,0.03805043,0.009651971,0.025296167
28,look who i found just for you  ,6,surprise,0.69817257,0.031257294,0.007507778,0.09779037,0.02806738,0.12893258,0.008271998,0.69817257
