,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
0,oh my god joint entrance examination preparation is exhausting me right now,6,surprise,0.8514456,0.010130273,0.006216697,0.013096909,0.0033950207,0.0062166783,0.10949882,0.8514456
1,are you up for a break before union public service commission revision,4,neutral,0.8293804,0.008504824,0.004935833,0.008016214,0.0055027115,0.8293804,0.10501075,0.038649295
2,talk to you later finishing the common admission test mock,4,neutral,0.8826826,0.010455,0.0041496027,0.03166896,0.030318873,0.8826826,0.0040615876,0.036663316
3,no that graduate aptitude test in engineering paper was really hard,6,surprise,0.6982577,0.007870175,0.0063312366,0.023498736,0.0055165705,0.11538438,0.14314121,0.6982577
4,whats up are you done with your indian institute of technology assignment,6,surprise,0.71172607,0.018799482,0.0034390371,0.0033287453,0.021634556,0.2230048,0.018067326,0.71172607
5,for your information the union public service commission exam date changed again,4,neutral,0.5386116,0.018474024,0.004981138,0.012580105,0.0043376787,0.5386116,0.12318879,0.2978267
6,right now stuck on a problem from the national eligibility cum entrance test guide,5,sadness,0.510612,0.03417771,0.013726485,0.02502509,0.0042593745,0.3646581,0.510612,0.047541175
7,got to go have to prepare for the joint entrance examination mock tomorrow,5,sadness,0.40505296,0.017192842,0.008494464,0.26939535,0.046210892,0.19587906,0.40505296,0.057774395
8,that professors lectures for the master of business administration preparation are tough,5,sadness,0.3344468,0.1969983,0.111619644,0.1688386,0.005341404,0.10437622,0.3344468,0.07837894
9,no cannot relax today got to focus on joint entrance examination mains,5,sadness,0.84846365,0.004222736,0.0017017347,0.0017876354,0.06254326,0.067375354,0.84846365,0.0139056295
10,are you ready for the indian engineering services mock tomorrow,4,neutral,0.8431563,0.012366135,0.00330181,0.076217495,0.007339322,0.8431563,0.005106074,0.052512925
11,to be honest joint entrance examination physics is really boring,5,sadness,0.92874897,0.0074014654,0.013321308,0.0070554297,0.0030644846,0.012401,0.92874897,0.028007388
12,wait a second just checking the union public service commission syllabus,4,neutral,0.8984696,0.013179966,0.009668371,0.011957567,0.0015917,0.8984696,0.0052999053,0.059832916
13,right now just finished my joint entrance examination math section,4,neutral,0.49808857,0.009874569,0.0026557047,0.058737557,0.123625435,0.49808857,0.011176308,0.2958418
14,please let me know if you have the indian engineering services notes,4,neutral,0.93216646,0.0064385296,0.0024372754,0.0036298006,0.005472319,0.93216646,0.0151962135,0.03465939
15,i don t know if i am going to pass that graduate aptitude test in engineering exam,3,joy,0.39507955,0.010268224,0.0013618192,0.33590055,0.39507955,0.019102016,0.19560282,0.04268492
16,this union public service commission preparation is endless shaking my head,2,fear,0.99103296,0.0009641904,0.0007207261,0.99103296,0.0008646913,0.001214216,0.0009669502,0.0042362227
17,no cannot skip national eligibility cum entrance test revision right now,4,neutral,0.5820365,0.020956935,0.009973335,0.054690015,0.01236088,0.5820365,0.3026456,0.017336743
18,for real this joint entrance examination mock was insane,6,surprise,0.28880122,0.28837758,0.1554108,0.1405787,0.0071140495,0.11048138,0.009236265,0.28880122
19,no that common admission test section was amazing though,6,surprise,0.9526355,0.0022337183,0.000997274,0.0055012847,0.020932376,0.01561484,0.0020849793,0.9526355
20,give me a second reviewing graduate aptitude test in engineering papers,4,neutral,0.69122523,0.01559749,0.0050504794,0.014999101,0.24866886,0.69122523,0.0077083306,0.016750537
21,right now too stressed with union public service commission preparation,0,anger,0.7371406,0.7371406,0.0038522587,0.013632087,0.0028826657,0.05461196,0.16834213,0.019538306
22,you have to check out that indian engineering services book,4,neutral,0.9396661,0.0025812858,0.0021654486,0.0014309786,0.015408236,0.9396661,0.006985235,0.03176272
23,whats up done with joint entrance examination chemistry yet,4,neutral,0.505408,0.011497195,0.0032853696,0.008954265,0.021042699,0.505408,0.019623045,0.4301894
24,i know union public service commission history is really tough,2,fear,0.6031529,0.10294402,0.0015835826,0.6031529,0.07342869,0.0032187612,0.20576213,0.009909929
25,that national eligibility cum entrance test paper was amazing no lie,6,surprise,0.9491904,0.0043760524,0.0016491953,0.007995034,0.023458472,0.012059832,0.001271011,0.9491904
26,oh my god indian institute of technology is really demanding,6,surprise,0.97228277,0.0042929607,0.003020905,0.0034480202,0.002985429,0.0055618323,0.008408115,0.97228277
27,no this master of business administration assignment is crazy hard,6,surprise,0.82943225,0.056154944,0.0252253,0.00893751,0.0049668592,0.06438681,0.010896375,0.82943225
28,please give me your indian engineering services revision notes,4,neutral,0.9209292,0.008126121,0.0017507238,0.0070734806,0.0073669744,0.9209292,0.02124018,0.033513315
29,ta ta for now going to finish the union public service commission test series,4,neutral,0.83456886,0.008932714,0.0079435175,0.005624123,0.10539587,0.83456886,0.024199856,0.013335104
30,ready for the joint entrance examination mains tomorrow,4,neutral,0.66814125,0.010212654,0.0037751007,0.2062321,0.04428791,0.66814125,0.015202291,0.052148677
31,no that graduate aptitude test in engineering paper crushed me,5,sadness,0.75054884,0.07317634,0.0060189515,0.1295868,0.004137722,0.009542691,0.75054884,0.026988618
32,whats up are you doing union public service commission revision later,6,surprise,0.75750685,0.018719712,0.0042477306,0.004141374,0.011892463,0.18948367,0.014008191,0.75750685
33,no cannot miss the national eligibility cum entrance test session right now,5,sadness,0.48529673,0.006480865,0.0055062515,0.041082595,0.041478574,0.40576756,0.48529673,0.014387373
34,give me a second was too busy with joint entrance examination preparation,5,sadness,0.7766624,0.017036997,0.0069976747,0.009023335,0.0041746995,0.15899923,0.7766624,0.027105667
35,please let me know as soon as possible if you have the master of business administration documents,4,neutral,0.93478787,0.010010248,0.002181305,0.0071956376,0.004699582,0.93478787,0.01578567,0.025339648
